BatchName,Scale,num_feed_phases,phase1_start_h,phase1_vvd_per_day,phase2_start_h,phase2_vvd_per_day,feed_VVD_relative,Global_Run_Order,pH_setpoint,DO_setpoint_pct,kLa,inoc_density_1e6_per_mL,temp_shift_time_h,Phase,Design,antifoam_type
R04,2L,2,120.0,0.05,210.0,0.065,1.2,1,6.9,40,225.0,0.5,72,A,DSD-6 (15 core + 2 center),PEG
R09,2L,2,72.0,0.05,162.0,0.065,1.0,2,7.15,80,335.0,0.35,72,A,DSD-6 (15 core + 2 center),PEG
R16,2L,2,72.0,0.05,162.0,0.065,1.0,3,7.15,60,280.0,0.35,96,A,DSD-6 (15 core + 2 center),PEG
R01,2L,2,120.0,0.05,210.0,0.065,1.2,4,7.15,40,225.0,0.35,120,A,DSD-6 (15 core + 2 center),PEG
R29,2L,2,72.0,0.05,162.0,0.065,1.0,5,7.15,80,335.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R07,2L,2,48.0,0.05,138.0,0.065,1.0,6,7.4,40,225.0,0.35,120,A,DSD-6 (15 core + 2 center),PEG
R24,2L,2,72.0,0.05,162.0,0.065,1.2,7,7.4,40,225.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R20,2L,2,72.0,0.05,162.0,0.065,0.8,8,7.4,40,225.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R25,2L,2,72.0,0.05,162.0,0.065,1.2,9,7.4,80,335.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R30,2L,2,72.0,0.05,162.0,0.065,0.8,10,7.15,60,280.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R17,2L,2,72.0,0.05,162.0,0.065,1.0,11,7.15,60,280.0,0.35,96,A,DSD-6 (15 core + 2 center),PEG
R08,2L,2,72.0,0.05,162.0,0.065,0.8,12,7.4,60,280.0,0.5,120,A,DSD-6 (15 core + 2 center),PEG
R13,2L,2,48.0,0.05,138.0,0.065,0.8,13,6.9,80,335.0,0.5,96,A,DSD-6 (15 core + 2 center),PEG
R18,2L,2,72.0,0.05,162.0,0.065,0.8,14,6.9,40,225.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R26,2L,2,72.0,0.05,162.0,0.065,1.0,15,6.9,60,280.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R27,2L,2,72.0,0.05,162.0,0.065,1.0,16,7.4,60,280.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R06,2L,2,120.0,0.05,210.0,0.065,0.8,17,7.4,40,225.0,0.2,96,A,DSD-6 (15 core + 2 center),PEG
R11,2L,2,120.0,0.05,210.0,0.065,1.2,18,6.9,80,335.0,0.35,72,A,DSD-6 (15 core + 2 center),PEG
R21,2L,2,72.0,0.05,162.0,0.065,0.8,19,7.4,80,335.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R22,2L,2,72.0,0.05,162.0,0.065,1.2,20,6.9,40,225.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R14,2L,2,72.0,0.05,162.0,0.065,0.8,21,7.4,80,335.0,0.2,96,A,DSD-6 (15 core + 2 center),PEG
R32,2L,2,72.0,0.05,162.0,0.065,1.0,22,7.15,60,280.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R15,2L,2,72.0,0.05,162.0,0.065,1.2,23,7.15,60,280.0,0.2,120,A,DSD-6 (15 core + 2 center),PEG
R33,2L,2,72.0,0.05,162.0,0.065,1.0,24,7.15,60,280.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R12,2L,2,48.0,0.05,138.0,0.065,1.2,25,7.4,60,280.0,0.5,96,A,DSD-6 (15 core + 2 center),PEG
R23,2L,2,72.0,0.05,162.0,0.065,1.2,26,6.9,80,335.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R05,2L,2,72.0,0.05,162.0,0.065,1.0,27,6.9,60,280.0,0.2,96,A,DSD-6 (15 core + 2 center),PEG
R28,2L,2,72.0,0.05,162.0,0.065,1.0,28,7.15,40,225.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R02,2L,2,48.0,0.05,138.0,0.065,1.0,29,7.15,80,335.0,0.2,72,A,DSD-6 (15 core + 2 center),PEG
R34,2L,2,72.0,0.05,162.0,0.065,1.0,30,7.15,60,280.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R10,2L,2,120.0,0.05,210.0,0.065,0.8,31,6.9,40,225.0,0.5,120,A,DSD-6 (15 core + 2 center),PEG
R35,2L,2,72.0,0.05,162.0,0.065,1.0,32,7.15,60,280.0,0.35,96,B,CCF-3 center (antifoam toggle),silicone
R31,2L,2,72.0,0.05,162.0,0.065,1.2,33,7.15,60,280.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
R03,2L,2,48.0,0.05,138.0,0.065,1.0,34,7.15,60,280.0,0.35,72,A,DSD-6 (15 core + 2 center),PEG
R19,2L,2,72.0,0.05,162.0,0.065,0.8,35,6.9,80,335.0,0.35,96,B,CCF-3 (8 cube + 6 axial + 3 center),PEG
